time,reward_energy,reward_comfort,TSupSetHea,CorTRooSetCoo,CorTRooSetHea,NorTRooSetCoo,NorTRooSetHea,SouTRooSetCoo,SouTRooSetHea,EasTRooSetCoo,EasTRooSetHea,WesTRooSetCoo,WesTRooSetHea,res.PFan,res.PHea,res.PCooSen,res.PCooLat,TSupCor.T,TSupEas.T,TSupWes.T,TSupNor.T,TSupSou.T,weaBus.TDryBul,weaBus.relHum,weaBus.HGloHor,TSup.T,TRooAir.y5[1],TRooAir.y3[1],TRooAir.y1[1],TRooAir.y2[1],TRooAir.y4[1]
68400.0,-45846.70063694776,3,280.0,297.15,293.15,300.964029238851,293.15,297.15,286.5618744895042,297.15,293.15,297.15,293.15,741.9624694096465,45104.71442379535,0.023743742762594878,-0.0,293.2092988275719,295.5022583298307,297.50275835318536,298.30486584981765,280.0006320221268,271.45,0.72,0.0,280.000704562795,293.13042364979094,293.1277234794666,292.28352265380386,293.1364435047748,293.12947400575695
72000.0,-4206.651152529458,0,280.0,297.15,293.15,300.65995731307123,293.15,297.15,286.9218184016447,297.15,293.15,297.15,293.15,786.6524196110407,3420.491795726974,-0.49306280855658946,-0.0,293.6065112218994,295.67069684778016,297.57240310377944,298.6092136819924,293.6065112218994,270.95,0.75,0.0,280.00063212397544,293.12739431698793,293.11411761107644,292.0122869268033,293.1312985051942,293.1205400961461
7200.0,0.004092192835051826,0,281.4706800935818,303.15,285.15,299.7078831265639,285.15,303.15,287.145375055061,303.15,285.15,303.15,285.15,-2.0800965876055565e-15,0.0,-0.004092192835049746,-0.0,293.1500123578983,293.15001932736345,293.1500239185702,293.1500208463058,293.1500214541324,260.95,0.73,0.0,293.15,293.15,293.15,293.15,293.15,293.15
10800.0,-0.0030189426996838076,0,280.88765388735914,303.15,285.15,299.55149884015725,285.15,303.15,288.04032142572953,303.15,285.15,303.15,285.15,-4.995759254993629e-16,0.0,0.003018942699684307,-0.0,293.1500875167705,293.15013133881644,293.1501530626846,293.15013992164404,293.1501504818883,261.45,0.73,0.0,293.1500229010036,292.71494865886416,292.32100911501794,292.19693826888675,292.36234649725384,292.104254394016
14400.0,0.005338385309843657,0,281.36387982128275,303.15,285.15,300.3210858497469,285.15,303.15,287.55350973019006,303.15,285.15,303.15,285.15,-7.586203405615524e-16,0.0,-0.005338385309842898,-0.0,293.15000804847904,293.1500168196638,293.150022052827,293.1500184012542,293.1500137247324,262.04999999999995,0.73,0.0,293.150159876467,292.6396671935295,292.20067700917684,292.0587901369518,292.25130160775694,292.055893705213
18000.0,0.014103062574687908,0,282.0800809336329,303.15,285.15,301.1276393473424,285.15,303.15,286.70440188999254,303.15,285.15,303.15,285.15,-9.097126484529091e-16,0.0,-0.014103062574686999,-0.0,293.1497427079601,293.1496379649113,293.14958970744664,293.14961653667206,293.14957786083386,262.04999999999995,0.73,0.0,293.1500160523441,292.52452554277085,292.04145033714605,291.8172245226226,292.0997215404368,291.8862882925086
21600.0,-13085.943703699391,0,281.2943125246938,303.15,285.15,301.8781918081484,285.15,303.15,286.53741796169265,303.15,285.15,303.15,285.15,740.7422921321205,12347.298924592305,-2.097513025035771,-0.0,281.39742108465487,281.39742108465487,281.39742108465487,281.39742108465487,281.39742108465487,262.54999999999995,0.73,0.0,293.149541152066,292.4377344339816,291.91232010184535,291.72662967972684,291.9779141530628,291.7445569062132
25200.0,-17445.352469388323,0,283.1385239889994,303.15,285.15,302.36688543045847,285.15,303.15,286.202739723026,303.15,285.15,303.15,285.15,740.7266458069787,16704.48909531982,0.13672826152405523,-0.0,283.13943175235755,283.13943175235755,283.13943175235755,283.13943175235755,283.13943175235755,262.54999999999995,0.73,0.0,281.3974156790728,290.85787727843893,290.35489459391727,290.32461613295317,290.1711393708944,290.29739709376776
28800.0,-60752.908728625334,0,283.1350369270867,297.15,293.15,302.2906946475062,293.15,297.15,285.48597339941716,297.15,293.15,297.15,293.15,740.8583929031753,60010.06724283286,1.9830928892987207,-0.0,297.5018631286214,301.7075038514561,305.6029919606633,306.67872556536366,283.12213069304863,262.54999999999995,0.77,0.9078947368421053,283.1394325717526,290.83181704142225,290.2740054576265,290.2495526324425,290.1303948852661,290.2449799255541
32400.0,-45037.70036130689,2,281.4889032303753,297.15,293.15,301.4567582137956,293.15,297.15,284.9162863105655,297.15,293.15,297.15,293.15,740.9321579699156,44297.11593805475,-0.34773471777814086,-0.0,291.91572936260326,294.46521536859217,299.9432788738008,300.37525836161973,281.49240028269764,263.15,0.77,53.31263371844244,283.1221410137576,293.16190226018733,293.2318970021323,291.5157192817371,293.23932571342056,293.23777215727677
36000.0,-40935.755505185974,1,281.3482570325843,297.15,293.15,301.6655524872192,293.15,297.15,284.04486196392963,297.15,293.15,297.15,293.15,741.0369063825526,40195.749372672115,-1.0307738686921533,-0.0,290.5953641257719,292.5207007529377,298.14290497394586,298.24188042116634,281.34670538987285,264.25,0.71,179.69447154471547,281.49239832995977,293.19722526898175,293.25102092895503,291.9165341322534,293.19962260996084,293.2287168880406
39600.0,-38504.08227055317,2,280.0,297.15,293.15,300.9310415819859,293.15,297.15,283.32984286008787,297.15,293.15,297.15,293.15,741.2467060282893,37763.10523984721,-0.26967532232484176,-0.0,289.8847412726731,292.20072499032364,296.9823738390877,297.01281180249947,280.00107295179475,266.45,0.6,297.03446808510637,281.3467000478178,293.15815472819924,293.1638125066372,292.177354173351,293.1583689220173,293.16289410155053
